Rk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,GF/GA,Win Rate,Draw Rate,Lose Rate
A,30.00 ,21.00 ,7.00 ,2.00 ,52.00 ,13.00 ,39.00 ,70.00 ,2.33 ,4.00 ,0.70 ,0.23 ,0.07 
A,30.00 ,16.00 ,6.00 ,8.00 ,40.00 ,21.00 ,19.00 ,54.00 ,1.80 ,1.90 ,0.53 ,0.20 ,0.27 
B,30.00 ,14.00 ,9.00 ,7.00 ,34.00 ,22.00 ,12.00 ,51.00 ,1.70 ,1.55 ,0.47 ,0.30 ,0.23 
B,30.00 ,12.00 ,9.00 ,9.00 ,34.00 ,30.00 ,4.00 ,45.00 ,1.50 ,1.13 ,0.40 ,0.30 ,0.30 
C,30.00 ,13.00 ,5.00 ,12.00 ,32.00 ,33.00 ,(1.00),44.00 ,1.47 ,0.97 ,0.43 ,0.17 ,0.40 
C,30.00 ,10.00 ,10.00 ,10.00 ,39.00 ,38.00 ,1.00 ,40.00 ,1.33 ,1.03 ,0.33 ,0.33 ,0.33 
D,30.00 ,10.00 ,10.00 ,10.00 ,24.00 ,27.00 ,(3.00),40.00 ,1.33 ,0.89 ,0.33 ,0.33 ,0.33 
D,30.00 ,11.00 ,7.00 ,12.00 ,26.00 ,33.00 ,(7.00),40.00 ,1.33 ,0.79 ,0.37 ,0.23 ,0.40 
E,30.00 ,10.00 ,8.00 ,12.00 ,32.00 ,40.00 ,(8.00),38.00 ,1.27 ,0.80 ,0.33 ,0.27 ,0.40 
E,30.00 ,7.00 ,14.00 ,9.00 ,28.00 ,22.00 ,6.00 ,35.00 ,1.17 ,1.27 ,0.23 ,0.47 ,0.30 
F,30.00 ,9.00 ,8.00 ,13.00 ,33.00 ,43.00 ,(10.00),35.00 ,1.17 ,0.77 ,0.30 ,0.27 ,0.43 
F,30.00 ,7.00 ,12.00 ,11.00 ,29.00 ,33.00 ,(4.00),33.00 ,1.10 ,0.88 ,0.23 ,0.40 ,0.37 
G,30.00 ,8.00 ,9.00 ,13.00 ,20.00 ,30.00 ,(10.00),33.00 ,1.10 ,0.67 ,0.27 ,0.30 ,0.43 
G,30.00 ,7.00 ,9.00 ,14.00 ,29.00 ,44.00 ,(15.00),30.00 ,1.00 ,0.66 ,0.23 ,0.30 ,0.47 
H,30.00 ,7.00 ,9.00 ,14.00 ,24.00 ,40.00 ,(16.00),30.00 ,1.00 ,0.60 ,0.23 ,0.30 ,0.47 
H,30.00 ,5.00 ,14.00 ,11.00 ,27.00 ,34.00 ,(7.00),29.00 ,0.97 ,0.79 ,0.17 ,0.47 ,0.37 
A,30.00 ,19.00 ,8.00 ,3.00 ,56.00 ,20.00 ,36.00 ,65.00 ,2.17 ,2.80 ,0.63 ,0.27 ,0.10 
A,30.00 ,12.00 ,13.00 ,5.00 ,32.00 ,24.00 ,8.00 ,49.00 ,1.63 ,1.33 ,0.40 ,0.43 ,0.17 
B,30.00 ,12.00 ,11.00 ,7.00 ,43.00 ,31.00 ,12.00 ,47.00 ,1.57 ,1.39 ,0.40 ,0.37 ,0.23 
B,30.00 ,11.00 ,14.00 ,5.00 ,32.00 ,23.00 ,9.00 ,47.00 ,1.57 ,1.39 ,0.37 ,0.47 ,0.17 
C,30.00 ,13.00 ,8.00 ,9.00 ,34.00 ,26.00 ,8.00 ,47.00 ,1.57 ,1.31 ,0.43 ,0.27 ,0.30 
C,30.00 ,10.00 ,14.00 ,6.00 ,34.00 ,28.00 ,6.00 ,44.00 ,1.47 ,1.21 ,0.33 ,0.47 ,0.20 
D,30.00 ,8.00 ,17.00 ,5.00 ,24.00 ,22.00 ,2.00 ,41.00 ,1.37 ,1.09 ,0.27 ,0.57 ,0.17 
D,30.00 ,10.00 ,10.00 ,10.00 ,36.00 ,32.00 ,4.00 ,40.00 ,1.33 ,1.13 ,0.33 ,0.33 ,0.33 
E,30.00 ,9.00 ,13.00 ,8.00 ,35.00 ,40.00 ,(5.00),40.00 ,1.33 ,0.88 ,0.30 ,0.43 ,0.27 
E,30.00 ,7.00 ,13.00 ,10.00 ,22.00 ,28.00 ,(6.00),34.00 ,1.13 ,0.79 ,0.23 ,0.43 ,0.33 
F,30.00 ,8.00 ,9.00 ,13.00 ,21.00 ,24.00 ,(3.00),33.00 ,1.10 ,0.88 ,0.27 ,0.30 ,0.43 
F,30.00 ,7.00 ,10.00 ,13.00 ,22.00 ,33.00 ,(11.00),31.00 ,1.03 ,0.67 ,0.23 ,0.33 ,0.43 
G,30.00 ,7.00 ,9.00 ,14.00 ,22.00 ,38.00 ,(16.00),30.00 ,1.00 ,0.58 ,0.23 ,0.30 ,0.47 
